Fuente de tráfico,Porcentaje medio visto (%),Visualizaciones,Tiempo de visualización (horas),Impresiones
Búsqueda de YouTube,8.97,66928,2951.1329,420277
Feed de Shorts,100.55,61798,242.9018,
Vídeos sugeridos,14.22,54420,2269.6168,164202
Fuentes externas,7.27,35589,922.1238,
Páginas de canal,9.49,27769,1366.2591,367427
Funciones de exploración,10.78,26098,1651.6228,186181
Directa o desconocida,9.14,5516,294.1203,
Página de lista de reproducción,8.59,3353,218.779,35946
Listas de reproducción,13.62,2794,266.6156,17112
Otras funciones de YouTube,12.9,2777,194.4794,
Notificaciones,3.58,2148,46.526,
