Fecha,Comentarios añadidos,Suscriptores,Visualizaciones,Tiempo de visualización (horas),Duración media de las visualizaciones,Datos duración media de las visualizaciones
2015-10-01,413,49,3659,186.6082,3.05,0:03:03
2015-09-30,411,70,4076,241.9121,3.55,0:03:33
2015-10-03,316,17,2945,137.6057,2.8,0:02:48
2017-08-23,232,1,288,21.103,4.383333333,0:04:23
2015-10-02,203,11,1676,96.6766,3.45,0:03:27
2017-08-21,192,5,221,17.6332,4.783333333,0:04:47
2015-09-29,130,45,1298,69.1558,3.183333333,0:03:11
2015-10-04,118,12,1316,48.0462,2.183333333,0:02:11
2015-10-05,78,11,800,30.9785,2.316666667,0:02:19
2017-08-22,73,5,248,16.3476,3.95,0:03:57
2017-09-10,68,1,230,18.2478,4.75,0:04:45
2016-12-16,57,0,231,17.8912,4.633333333,0:04:38
2018-05-24,56,8,541,12.5339,1.383333333,0:01:23
2015-10-07,50,-2,232,7.7197,1.983333333,0:01:59
2020-10-11,46,1,116,9.0993,4.7,0:04:42
2018-06-11,43,2,155,6.5351,2.516666667,0:02:31
2017-09-16,42,0,219,18.2764,5,0:05:00
2015-10-06,39,0,382,19.5437,3.066666667,0:03:04
2015-10-08,38,-4,417,13.5639,1.95,0:01:57
2017-02-11,36,0,162,9.3754,3.466666667,0:03:28
2020-10-10,34,0,107,17.5296,9.816666667,0:09:49
2015-10-10,33,-4,196,7.404,2.25,0:02:15
2015-10-09,32,0,228,6.9083,1.816666667,0:01:49
2015-10-13,32,-6,141,4.1457,1.75,0:01:45
2017-01-02,26,1,194,15.2092,4.7,0:04:42
2015-10-23,23,-1,94,3.1399,2,0:02:00
2017-09-15,23,-1,189,10.983,3.483333333,0:03:29
2015-10-27,21,-1,104,3.2954,1.9,0:01:54
2016-12-20,21,-1,100,4.6809,2.8,0:02:48
2020-04-26,20,-2,146,4.0966,1.683333333,0:01:41
2015-10-11,19,-1,165,6.4197,2.333333333,0:02:20
2015-10-15,19,0,201,5.2811,1.566666667,0:01:34
2020-03-10,19,0,78,4.1171,3.166666667,0:03:10
